Director,mean,count
Jonathan Glazer,6.6000000000000005,3
Teddy Chan,6.6,2
Karen Moncrieff,6.6,2
Anna Rose Holmer,6.6,2
Shari Springer Berman,6.6,2
Stefan Schwartz,6.6,2
Jonathan Kasdan,6.6,2
Brian Henson,6.6,2
Sydney Pollack,6.6,5
Sean Byrne,6.6,2
Edward Norton,6.6,2
Nick Park,6.6,2
Fede Alvarez,6.6,2
Eli Craig,6.6,2
Jay Roach,6.6,10
Ol Parker,6.6,4
Herbert Ross,6.6,2
Jake Schreier,6.6,2
Nicholas Hytner,6.6,5
James McTeigue,6.6,4
Michael Sucsy,6.6,2
EugÃ¨ne LouriÃ©,6.6,2
Anne Fontaine,6.6,4
Walter Lang,6.6,2
Christian Tafdrup,6.6,2
Mark Mylod,6.6,2
Robert Pulcini,6.6,2
David Hewlett,6.6,2
Bethany Ashton Wolf,6.599999999999999,3
Frank Oz,6.5875,8
Tom McGrath,6.585714285714286,7
Tom Hooper,6.58,5
Warren Beatty,6.58,5
Alex Proyas,6.575,4
D.W. Griffith,6.575,4
Richard Fleischer,6.571428571428571,7
Sam Fell,6.566666666666666,3
Anthony Russo,6.566666666666666,3
Michael Dowse,6.566666666666666,3
Joe Russo,6.566666666666666,3
Tim Johnson,6.566666666666666,6
Randal Kleiser,6.566666666666666,3
Andrew Davis,6.56,5
John Glen,6.56,5
Nicole Holofcener,6.56,5
James Watkins,6.550000000000001,2
Michael Cuesta,6.550000000000001,2
AndrÃ© Ãvredal,6.550000000000001,2
Jill Culton,6.55,2
Evan Goldberg,6.55,2
Michael Bay,6.55,8
Frank Marshall,6.55,4
Seth Rogen,6.55,2
Jon Erwin,6.55,6
Chris Wedge,6.55,4
Jonathan Mostow,6.55,4
Tom Gormican,6.55,2
Jonathan Teplitzky,6.55,2
Alex Kendrick,6.55,6
Tom Hanks,6.55,2
Judd Apatow,6.540000000000001,5
Kirk Jones,6.540000000000001,5
Peter Farrelly,6.536363636363637,11
Shekhar Kapur,6.533333333333334,3
Bibo Bergeron,6.533333333333334,3
Michael Apted,6.533333333333334,6
Jodie Foster,6.533333333333334,3
Brett Ratner,6.528571428571429,7
Richard Loncraine,6.525,4
Harold Ramis,6.525,8
Richard Lester,6.5200000000000005,5
Oliver Parker,6.5200000000000005,5
Josh Schwartz,6.5,3
Scott Speer,6.5,2
Robby Benson,6.5,2
Don Coscarelli,6.5,3
Hal Ashby,6.5,2
John Waters,6.5,2
Patricia Cardoso,6.5,2
Paul Andrew Williams,6.5,2
Gil Kenan,6.5,2
Peter Webber,6.5,2
Bill Condon,6.5,9
Ted Post,6.5,2
Roger Avary,6.5,2
Douglas Trumbull,6.5,2
Daniel Myrick,6.5,2
Craig Brewer,6.5,3
Uli Edel,6.5,2
Gavin Wiesen,6.5,2
Eduardo SÃ¡nchez,6.5,2
Jeannot Szwarc,6.5,2
Aleksey Sidorov,6.5,2
Jeff Fowler,6.5,2
Whit Stillman,6.5,3
Mikael HÃ¥fstrÃ¶m,6.5,5
James L. Brooks,6.5,3
Jim Sheridan,6.5,3
Allison Anders,6.5,3
Anand Tucker,6.5,3
Jeb Stuart,6.5,2
Gurinder Chadha,6.4799999999999995,5
Adrian Lyne,6.4799999999999995,5
Will Gluck,6.4799999999999995,5
John Milius,6.475,4
Tom Shadyac,6.475,8
Barry Levinson,6.466666666666667,15
Ira Sachs,6.466666666666666,3
Alan Taylor,6.466666666666666,3
Phyllida Lloyd,6.466666666666666,3
Noah Buschel,6.466666666666666,3
Brad Silberling,6.466666666666666,3
Tom Holland,6.466666666666666,3
Stuart Baird,6.466666666666666,3
Louis Leterrier,6.4625,8
Gary Fleder,6.459999999999999,5
Danny DeVito,6.45,4
Jonathan del Val,6.45,2
Lee Daniels,6.45,2
Craig Zobel,6.45,2
Christian Alvart,6.45,2
Richard Dutcher,6.45,2
Randy Barbato,6.45,2
Fenton Bailey,6.45,2
Adam Brooks,6.449999999999999,2
Adam Wingard,6.449999999999999,2
Vincenzo Natali,6.449999999999999,2
Scott Kalvert,6.449999999999999,2
Anthony Stacchi,6.449999999999999,2
Ivan Reitman,6.445454545454546,11
George Clooney,6.442857142857143,7
David Ayer,6.4375,8
Luc Besson,6.433333333333334,9
Jon Turteltaub,6.433333333333334,6
Mark L. Lester,6.433333333333334,3
Wes Ball,6.433333333333334,3
Joe Dante,6.433333333333334,6
Lorene Scafaria,6.433333333333334,3
Arie Posin,6.433333333333334,3
Jaume Collet-Serra,6.43,10
Rick Famuyiwa,6.425,4
Jon Avnet,6.425,4
Rawson Marshall Thurber,6.42,5
David Koepp,6.42,5
Andrew Erwin,6.42,5
Stephanie Laing,6.4,2
Thurop Van Orman,6.4,2
Stevie Binns,6.4,2
Scott Waugh,6.4,2
Kevin Spacey,6.4,2
Tommy Wirkola,6.4,2
Rupert Wyatt,6.4,4
Robert Harmon,6.4,2
Neill Blomkamp,6.4,4
Nora Ephron,6.4,4
John Stevenson,6.4,2
John Rice,6.4,2
Paul Feig,6.4,5
Richard Shepard,6.4,2
Joel Souza,6.4,2
Nicole Barber-Lane,6.4,2
William Phillips,6.4,2
Joe Cornish,6.4,2
Scott Walker,6.4,2
Sean S. Cunningham,6.4,2
Dany Boon,6.4,2
Jonas Ãkerlund,6.4,2
Emma Chadbourne,6.4,2
Mark Griffiths,6.4,2
Vicky Jenson,6.3999999999999995,3
Adam Rifkin,6.3999999999999995,3
George P. Cosmatos,6.3999999999999995,3
Nicholas Stoller,6.3999999999999995,6
NimrÃ³d Antal,6.3999999999999995,3
Matthew Hastings,6.3999999999999995,2
Kevin Lima,6.3999999999999995,3
Jonathan Frakes,6.3999999999999995,3
Kyle Balda,6.375,4
Burr Steers,6.375,4
Joel Schumacher,6.373333333333333,15
Bobby Farrelly,6.37,10
Douglas McGrath,6.366666666666667,3
Scott Derrickson,6.366666666666667,6
Craig Mazin,6.366666666666667,3
Colin Trevorrow,6.366666666666667,3
Tobe Hooper,6.359999999999999,5
Chris Weitz,6.3500000000000005,6
John Singleton,6.3500000000000005,6
Michael Corrente,6.35,2
Steven Zaillian,6.35,2
Nima Nourizadeh,6.35,2
Simon J. Smith,6.35,2
Susanna White,6.35,2
Nanette Burstein,6.35,2
E. Elias Merhige,6.35,2
Julius Avery,6.35,2
Ben Wheatley,6.35,2
Jean-Marie PoirÃ©,6.35,2
Sergei Bodrov,6.35,2
Andrew Fleming,6.35,2
Ben Stiller,6.34,5
Michael Thurmeier,6.333333333333333,3
Victor Salva,6.333333333333333,3
Jim Mickle,6.333333333333333,3
Timur Bekmambetov,6.333333333333333,3
Roger Spottiswoode,6.333333333333333,6
M. Night Shyamalan,6.327272727272727,11
Robert Rodriguez,6.325,16
Barry Sonnenfeld,6.325,8
Jake Kasdan,6.314285714285715,7
George Hickenlooper,6.300000000000001,2
Edward Burns,6.300000000000001,4
David Soren,6.300000000000001,2
Andrew Berends,6.3,2
Lowell Sherman,6.3,2
Don Chaffey,6.3,2
Marianna Palka,6.3,2
Sean Anders,6.3,6
Ulu Grosbard,6.3,2
Michael Davis,6.3,2
Bob Rafelson,6.3,2
Hugh Hudson,6.3,2
Kelly Asbury,6.3,5
Todd Graff,6.3,3
Christopher Cain,6.3,2
Tony Goldwyn,6.3,2
Charles Martin Smith,6.3,4
Frank Miller,6.3,4
Richard Kelly,6.3,3
Jason Howden,6.3,2
Sharon Greytak,6.3,2
Luke Greenfield,6.3,3
Daniel Espinosa,6.3,5
Sean McNamara,6.3,4
Karey Kirkpatrick,6.3,3
Karim AÃ¯nouz,6.3,2
Tarsem Singh,6.3,3
Peter Cattaneo,6.3,3
Brian Baugh,6.3,2
Andy Tennant,6.3,6
Harold Becker,6.279999999999999,5
Roland JoffÃ©,6.266666666666667,3
Rob Minkoff,6.266666666666667,6
Stephen Hopkins,6.266666666666667,6
Ric Roman Waugh,6.26,5
Keith Gordon,6.25,2
Michael Landon Jr.,6.25,2
Tim Blake Nelson,6.25,2
Danny Leiner,6.25,2
Tony Richardson,6.25,2
Henry Selick,6.25,2
Robert Lorenz,6.25,2
John Hamburg,6.25,4
Stephen Sommers,6.25,6
Shana Feste,6.25,2
Tom Vaughan,6.25,2
Eric Goldberg,6.25,2
Dean Parisot,6.24,5
Jon Amiel,6.24,5
Kevin Smith,6.238461538461538,13
Walter Hill,6.233333333333333,3
George Gallo,6.233333333333333,3
Mark Waters,6.228571428571429,7
Steve Oedekerk,6.225,4
James Bobin,6.225,4
Patrick Hughes,6.225,4
Stephen Herek,6.222222222222222,9
Tim Story,6.218181818181819,11
Panos Cosmatos,6.2,2
Nicolae Constantin Tanase,6.2,2
Julian Gilbey,6.2,2
Todd Strauss-Schulson,6.2,3
Simon Wells,6.2,3
Richard Raymond,6.2,2
Jared Hess,6.2,4
Mick Jackson,6.2,3
Jay Chandrasekhar,6.2,4
Peter Howitt,6.2,4
David F. Sandberg,6.2,4
Derrick Borte,6.2,2
Seyi Babatope,6.2,2
Marcus Nispel,6.2,3
Russell Mulcahy,6.2,3
Marcus Dunstan,6.199999999999999,2
David Levien,6.199999999999999,2
Rupert Sanders,6.199999999999999,2
Seth MacFarlane,6.199999999999999,2
David L. Hunt,6.199999999999999,2
James Ponsoldt,6.199999999999999,2
Morgan J. Freeman,6.199999999999999,2
Brian Koppelman,6.199999999999999,2
Laurent Tirard,6.199999999999999,2
Roland Emmerich,6.1909090909090905,11
Shawn Levy,6.1899999999999995,10
Jonathan Levine,6.183333333333334,6
Peyton Reed,6.18,5
Ken Kwapis,6.18,5
John Frankenheimer,6.18,5
Peter Segal,6.18,10
Garry Marshall,6.175,8
Stephan Elliott,6.175,4
Gary Winick,6.166666666666667,6
Jesse Peretz,6.166666666666667,3
Mark Duplass,6.166666666666667,3
Michael Ritchie,6.166666666666667,3
Jay Duplass,6.166666666666667,3
Joe Johnston,6.1625,8
Alexandre Aja,6.16,5
Michael Winterbottom,6.1571428571428575,7
Martin Brest,6.15,4
Seth Gordon,6.15,4
David Worth,6.15,2
Paul Gross,6.15,2
Sam Levinson,6.15,4
Thor Freudenthal,6.15,4
Greg McLean,6.15,2
Jorma Taccone,6.15,2
Niels Arden Oplev,6.15,4
Ry Russo-Young,6.15,2
Olivier Megaton,6.15,4
Vincent Gallo,6.15,2
Joachim RÃ¸nning,6.15,2
Darren Lynn Bousman,6.1499999999999995,6
Breck Eisner,6.133333333333333,3
Ti West,6.133333333333333,3
Amy Heckerling,6.125,4
Lawrence Kasdan,6.125,4
Wes Craven,6.122222222222223,9
Daniel Stamm,6.1000000000000005,3
Scott Stewart,6.1000000000000005,3
Mike Figgis,6.1000000000000005,3
Anne Fletcher,6.1000000000000005,7
Miguel Arteta,6.1000000000000005,6
Peter Ho-Sun Chan,6.1,5
Patrick Stettner,6.1,2
George Armitage,6.1,2
Gary Nelson,6.1,2
Patrick Brice,6.1,2
Adam Nee,6.1,2
Michael Dougherty,6.1,2
Ken Marino,6.1,2
Josh Gordon,6.1,4
Will Speck,6.1,4
Simon McQuoid,6.1,2
Raman Hui,6.1,2
Dean Israelite,6.1,2
Robert Lee King,6.1,2
Aaron Nee,6.1,2
John Turturro,6.1,2
Wayne Wang,6.08,5
Brandon Camp,6.066666666666666,3
James Foley,6.066666666666666,6
David G. Evans,6.066666666666666,3
Paul Weitz,6.0625,8
Sanaa Hamri,6.050000000000001,2
Joshua Michael Stern,6.05,2
Harry Elfont,6.05,2
Kurt Voss,6.05,2
Terence Young,6.05,4
Kurt Hale,6.05,2
Sheldon Lettich,6.05,2
Robert Luketic,6.05,6
Christopher Landon,6.05,4
Mark Steven Johnson,6.05,2
Matty Rich,6.05,2
Deborah Kaplan,6.05,2
GÃ©rard Krawczyk,6.05,2
Thomas Bezucha,6.05,2
John Stockwell,6.033333333333334,6
James DeMonaco,6.033333333333334,3
Jesse Dylan,6.033333333333334,3
Lee Tamahori,6.025,4
Rob Letterman,6.0200000000000005,5
Tyler Gillett,6.02,5
Matt Bettinelli-Olpin,6.02,5
David Lowery,6.014285714285714,7
David Wain,6.0,3
Ward Roberts,6.0,2
Rich Christiano,6.0,2
Michael Tollin,6.0,2
Daniel Lee,6.0,2
Zach Cregger,6.0,2
Kevin Bray,6.0,2
Paul Hoen,6.0,2
Callie Khouri,6.0,2
David Bowers,6.0,5
David Gordon Green,6.0,11
Xavier Gens,6.0,2
Tommy O Haver,6.0,2
Mike Nawrocki,6.0,2
Ari Sandel,6.0,4
Michael Gornick,6.0,2
Paul Schrader,5.966666666666667,9
Howard Deutch,5.966666666666666,3
William Eubank,5.966666666666666,3
Catherine Hardwicke,5.9625,8
Neil Marshall,5.96,5
Elizabeth Allen Rosenbaum,5.95,2
J Blakeson,5.95,2
Daniel Barnz,5.95,2
Simon Wincer,5.95,4
Chuck Russell,5.95,6
Angelina Jolie,5.95,2
D.J. Caruso,5.95,8
Michael Caton-Jones,5.95,4
Luis Mandoki,5.95,2
Mike Mitchell,5.942857142857143,7
Robert Schwentke,5.9399999999999995,5
Adam Robitel,5.933333333333334,3
Kasi Lemmons,5.933333333333334,3
McG,5.933333333333334,6
Donald Petrie,5.933333333333334,6
Hugh Wilson,5.925000000000001,4
Adam Shankman,5.922222222222222,9
David Slade,5.9,4
Stephen Milburn Anderson,5.9,2
Jon Lucas,5.9,4
Scott Moore,5.9,4
Kunihiko Yuyama,5.9,2
Griffin Dunne,5.9,2
John A. Davis,5.9,2
Eli Roth,5.8875,8
Frank Coraci,5.875,8
Mary Lambert,5.866666666666667,3
Albert Magnoli,5.866666666666667,3
Ken Scott,5.85,2
Kirk DeMicco,5.85,2
Jeff Lowell,5.85,2
Steven Quale,5.85,2
Reginald Hudlin,5.85,4
Paul W.S. Anderson,5.85,10
Clare Kilner,5.85,2
Jeff Wadlow,5.84,5
Jon Gunn,5.833333333333333,3
Marc Lawrence,5.833333333333333,3
Simon West,5.822222222222222,9
Steve Miner,5.82,5
Dave Green,5.800000000000001,2
Renny Harlin,5.800000000000001,13
Benny Boom,5.800000000000001,2
Jon Cassar,5.800000000000001,2
Gregor Jordan,5.800000000000001,2
Sam Miller,5.8,3
Kurt Wimmer,5.8,2
Jan de Bont,5.8,4
Cheryl Dunye,5.8,2
Dominic Sena,5.8,3
Rodrigo CortÃ©s,5.8,4
John Bruno,5.8,2
Corey Yuen,5.8,2
Chris Rock,5.8,3
Christian Duguay,5.8,3
Cal Brunker,5.8,3
Jeffrey Nachmanoff,5.775,4
Dennis Dugan,5.7727272727272725,11
Kevin Rodney Sullivan,5.766666666666667,3
Stephen Gaghan,5.766666666666667,3
Jimmy Hayward,5.766666666666667,3
Robert Mandel,5.75,2
Joe Nussbaum,5.75,2
Joseph Ruben,5.75,2
Brian Taylor,5.75,4
J. Lee Thompson,5.75,2
Patrick Read Johnson,5.75,2
Michael Polish,5.74,5
John Boorman,5.733333333333333,3
Lloyd Kaufman,5.733333333333333,3
Henry Joost,5.725,4
James Wong,5.725,4
Ariel Schulman,5.725,4
Sai Varadan,5.7,2
Jon Knautz,5.7,2
Peter Chelsom,5.7,5
Jamaa Fanaka,5.7,2
Joseph Zito,5.7,2
Bob Odenkirk,5.7,3
J.B. Rogers,5.7,2
Norton Virgien,5.7,2
Salim Akil,5.7,2
Mike Gan,5.7,2
Rob Bowman,5.7,3
Charles Stone III,5.7,4
Frederik Du Chau,5.7,2
John Pasquin,5.7,3
Steve Pink,5.7,2
Jeff Franklin,5.7,2
Michael Rymer,5.7,2
Charles Herman-Wurmfeld,5.699999999999999,2
Rob Zombie,5.68,5
Ron Shelton,5.66,5
Walt Becker,5.66,5
Peter Spierig,5.66,5
Michael Spierig,5.66,5
Danny Cannon,5.65,4
Josh Trank,5.65,2
Julie Anne Robinson,5.65,2
Mathieu Kassovitz,5.65,2
Mark Rosman,5.65,2
Sam Taylor-Johnson,5.65,2
Andy Fickman,5.640000000000001,5
John Moore,5.64,5
David Zucker,5.6375,8
Kevin Greutert,5.633333333333333,3
Michael Lembeck,5.633333333333333,3
Andrey Konchalovskiy,5.633333333333333,3
Michael Lehmann,5.633333333333333,3
Kevin Allen,5.633333333333333,3
Malcolm D. Lee,5.63,10
Tim Hill,5.616666666666667,6
Neil LaBute,5.6000000000000005,3
John Herzfeld,5.6000000000000005,3
Takashi Shimizu,5.6000000000000005,3
Kevin Munroe,5.6000000000000005,3
Kenny Ortega,5.6,4
David E. Talbert,5.6,2
Patrice Leconte,5.6,2
Michael Herz,5.6,2
Brian Robbins,5.583333333333333,6
Rob Cohen,5.58,10
Jon M. Chu,5.575,8
Ronny Yu,5.575,4
Ron Underwood,5.566666666666666,3
Ben Stassen,5.566666666666666,3
Mimi Maynard,5.566666666666666,3
Michael Chaves,5.566666666666666,3
Joe Roth,5.550000000000001,2
Darren Stein,5.55,2
CiarÃ¡n Foy,5.55,2
Forest Whitaker,5.55,2
Jim Gillespie,5.55,2
Mark Neveldine,5.54,5
Peter Hyams,5.533333333333334,6
Les Mayfield,5.525,4
Jonathan Liebesman,5.525,4
Keenen Ivory Wayans,5.5200000000000005,5
Stephen Kay,5.5,2
John Luessenhop,5.5,2
Chris Kentis,5.5,2
Dan Reed,5.5,2
Tom Dey,5.5,4
Michael Meredith,5.5,2
Ken Roht,5.5,2
Melvin Van Peebles,5.5,2
Nick Hamm,5.5,2
Brad Peyton,5.5,5
John Schultz,5.5,3
John Polson,5.5,2
Sam Weisman,5.466666666666666,3
David R. Ellis,5.46,5
Dennie Gordon,5.45,4
David Leland,5.45,2
David Raynr,5.45,2
Brett Leonard,5.45,2
Bart Freundlich,5.45,2
Babak Najafi,5.45,2
Joel Zwick,5.449999999999999,2
Harald Zwart,5.449999999999999,2
Marcus Raboy,5.449999999999999,2
Jon Wright,5.449999999999999,2
Ernie Barbarash,5.4,2
Peter Hewitt,5.4,4
Camille Delamarre,5.4,2
Michael Anderson,5.4,2
Harmony Korine,5.4,2
William Dear,5.4,2
Mark Williams,5.4,2
Karyn Kusama,5.4,2
Morgan Spurlock,5.4,2
Doug McHenry,5.4,2
Bob Clark,5.383333333333333,6
Steven Brill,5.38,5
Patrick Lussier,5.3500000000000005,4
Elizabeth Banks,5.35,2
Fedor Bondarchuk,5.35,2
Fred Wolf,5.35,2
Chris Koch,5.35,2
Youssef Delara,5.333333333333333,3
David M. Rosenthal,5.3,2
Danny Pang,5.3,2
Andrzej Bartkowiak,5.3,4
Jenny Gage,5.3,2
Nathan Smith Jones,5.3,2
Oxide Chun Pang,5.3,2
Steve Carr,5.3,7
Thomas L. Phillips,5.3,2
Greg Tiernan,5.3,2
John Guillermin,5.266666666666667,3
Johannes Roberts,5.26,5
Ben Falcone,5.25,2
Dwight H. Little,5.25,2
David S. Goyer,5.25,2
Luis Llosa,5.25,2
Roger Kumble,5.25,4
Jamie Blanks,5.25,2
Oren Peli,5.25,2
Arthur Hiller,5.25,2
Steve Rash,5.25,2
Katt Shea,5.25,2
Ruba Nadda,5.2,2
Floria Sigismondi,5.2,2
Bob Saget,5.2,2
Will Finn,5.2,2
Rick Rosenthal,5.2,2
Deborah Anderson,5.2,2
Eric Brevig,5.199999999999999,2
Bille Woodruff,5.166666666666667,3
RZA,5.15,2
Bruce McCulloch,5.15,2
Deon Taylor,5.133333333333334,6
James Toback,5.1000000000000005,3
James Kerwin,5.1,2
Dan Aykroyd,5.1,2
David McNally,5.1,2
Chad Burns,5.1,2
Mark Brown,5.05,2
Gregory Plotkin,5.05,2
Richard Benjamin,5.025,4
Rachel Talalay,5.0,2
Ruggero Deodato,5.0,2
Stevan Mena,5.0,2
Raja Gosnell,4.95,8
Etan Cohen,4.95,2
Betty Thomas,4.95,2
Rob Hedden,4.95,2
Brian Levant,4.95,6
John Whitesell,4.9399999999999995,5
Sylvain White,4.933333333333334,3
Tyler Perry,4.906666666666666,15
Andrew Bergman,4.9,2
Harold Cronk,4.8999999999999995,3
Stewart Hendler,4.85,2
Joseph Kahn,4.85,2
Mikael Wulff,4.8,2
Joel Paul Reisig,4.8,2
Dinesh D Souza,4.8,2
Anders Morgenthaler,4.8,2
Dan Ireland,4.8,2
Nelson McCormick,4.75,2
DJ Pooh,4.7,2
Tony Leondis,4.65,2
FrÃ©dÃ©ric Auburtin,4.65,2
William Brent Bell,4.633333333333334,3
Tamra Davis,4.6000000000000005,3
Scott Marshall,4.6,2
Luke Sparke,4.6,2
Bruce Macdonald,4.6,2
Greg Strause,4.55,2
Colin Strause,4.55,2
Douglas Aarniokoski,4.55,2
Jesse O Brien,4.5,2
William Malone,4.466666666666667,3
Troy Miller,4.4,2
Robert Iscove,4.4,3
Michael Tiddes,4.3999999999999995,3
Anne Goursaud,4.3,2
Harry F. Millarde,4.3,2
Stewart Raffill,4.3,2
John R. Leonetti,4.3,2
James Manera,4.3,2
Russell Owen,4.3,2
Steve Boyum,4.15,2
Eric Valette,4.066666666666666,3
Corey Grant,4.05,2
Chris Stokes,4.0,3
Izu Ojukwu,4.0,2
Brian Trenchard-Smith,3.966666666666667,3
Ray Griggs,3.85,2
James O Brien,3.8,2
Allan Silliphant,3.7,2
Lawrence Guterman,3.65,2
Patrick Ryan Sims,3.6,2
Hyung-rae Shim,3.5,2
Kevin Carraway,3.4,2
Don Michael Paul,3.4,2
Vic Armstrong,3.1,2
Rhys Frake-Waterfield,3.0,2
Rick de Oliveira,2.9,2
Uwe Boll,2.825,4
David DeCoteau,2.7,2
Aaron Seltzer,2.6599999999999997,5
Jason Friedberg,2.6599999999999997,5
Stephen Langford,2.4,2
Armando de Boer,2.2,2
