Writer,mean,count
Ron Livingston,9.4,2
Scott Grimes,9.4,2
Damian Lewis,9.4,2
Barbara Camillo,9.2,2
Seth Camillo,9.2,2
J.R.R. Tolkien,8.9,4
Wunmi Mosaku,8.8,2
Monica Dolan,8.8,2
Daniel Lapaine,8.8,2
Patrick Stewart,8.7,2
Jonathan Frakes,8.7,2
Brent Spiner,8.7,2
Jonathan Nolan,8.65,4
Kelly Macdonald,8.6,2
Matt Berry,8.6,2
Natasia Demetriou,8.6,2
Kayvan Novak,8.6,2
Michael Shannon,8.6,2
Matt Smith,8.5,2
Todd Free,8.5,2
Scott Mactavish,8.5,2
Graham McTavish,8.5,2
Luciano Vincenzoni,8.5,2
Sergio Leone,8.5,2
Steve Toussaint,8.5,2
Michelle Keserwany,8.4,2
Mark Magidson,8.4,2
Ron Fricke,8.4,2
Stephanie Beatriz,8.4,2
Wayne Rogers,8.4,2
Terry Crews,8.4,2
Loretta Swit,8.4,2
Christopher Nolan,8.3125,8
BrÃ¡ulio Mantovani,8.3,2
Dominic Purcell,8.3,2
Stacie Evans,8.3,2
Charles M. Schulz,8.3,2
Amaury Nolasco,8.3,2
Amal Al-Agroobi,8.3,2
Abigail Evans,8.3,2
James Norton,8.3,2
Alan Mackay,8.3,2
John Evans,8.3,2
Phil Lord,8.2125,8
Christopher Miller,8.2125,8
Ethan Peck,8.2,2
Anson Mount,8.2,2
Ãrsula CorberÃ³,8.2,2
Itziar ItuÃ±o,8.2,2
Margaret Mitchell,8.2,2
Jess Bush,8.2,2
Jordan Belfort,8.2,4
Ãlvaro Morte,8.2,2
Majid Majidi,8.2,2
Sidney Howard,8.2,2
Frank Darabont,8.18,5
Stanley Kubrick,8.166666666666666,6
Charlie Cox,8.15,2
A.J. Cook,8.149999999999999,2
Pete Docter,8.14,5
Karl Tunberg,8.1,2
Graham Chapman,8.1,2
C.H. Vijay Kumar,8.1,2
S.S. Rajamouli,8.1,2
Philip Kaufman,8.1,2
Gore Vidal,8.1,2
Steve Buscemi,8.1,3
Sean Penn,8.1,2
Brendan McCarthy,8.1,3
Uma Thurman,8.1,2
Nick Lathouris,8.1,3
Michael Wilson,8.1,4
Vijayendra Prasad,8.1,3
Jon Krakauer,8.1,2
Hayao Miyazaki,8.059999999999999,5
Florian Henckel von Donnersmarck,8.05,2
Hideo Oguni,8.05,2
Thomas Vinterberg,8.033333333333333,3
Martin Scorsese,8.033333333333333,3
Hampton Fancher,8.02,5
Ethan Hawke,8.0,2
Tobias Lindholm,8.0,2
Rod Serling,8.0,2
Julie Delpy,8.0,2
Michael Herr,7.966666666666666,3
Jihad Hojeily,7.966666666666666,3
Nadine Labaki,7.966666666666666,3
Angela Bassett,7.95,2
Park Chan-wook,7.95,2
CÃ©line Sciamma,7.949999999999999,2
Lew Wallace,7.949999999999999,4
Quentin Tarantino,7.925,12
J.H. Ingraham,7.9,2
Adriano Bolzoni,7.9,2
Jerome Bixby,7.9,2
A.E. Southon,7.9,2
VÃ­ctor AndrÃ©s Catena,7.9,2
Mark Lowell,7.9,2
Dorothy Clarke Wilson,7.9,2
Joseph Farnham,7.9,2
John Taintor Foote,7.9,2
Alfred Hitchcock,7.9,2
Harry Behn,7.9,2
Robert Bolt,7.9,4
Andrew Stanton,7.8999999999999995,3
Sergio Pablos,7.8999999999999995,2
Denis Villeneuve,7.875,4
Alan Alda,7.866666666666667,3
Akira Kurosawa,7.866666666666667,3
Dave Callaham,7.866666666666666,9
Billy Wilder,7.859999999999999,5
Charles Ferguson,7.85,2
Wolfgang Petersen,7.85,2
Taika Waititi,7.85,2
Richard Brooks,7.833333333333333,3
Philippa Boyens,7.833333333333333,9
Andy Samberg,7.833333333333333,3
Bernardo Bertolucci,7.800000000000001,2
James Leo Herlihy,7.8,2
Louisa May Alcott,7.8,2
John Cleese,7.8,3
Chie Uratani,7.8,2
Charlie Mackesy,7.8,2
Carey Wilson,7.8,2
Sunao Katabuchi,7.8,2
Fumiyo Kono,7.8,2
AndrÃ© Aciman,7.8,2
Rick Moranis,7.8,2
Tennessee Williams,7.8,3
June Mathis,7.8,2
James Ivory,7.766666666666667,3
Alfonso CuarÃ³n,7.766666666666667,3
Fran Walsh,7.754545454545454,11
Irene Mecchi,7.75,2
Darren Aronofsky,7.75,2
Larry McMurtry,7.75,2
Liam O Brien,7.75,2
Tomm Moore,7.75,2
Bill Lancaster,7.75,2
Mario Puzo,7.742857142857143,7
Kenneth Branagh,7.74,5
Bob Peterson,7.733333333333333,3
Ben Hecht,7.716666666666666,6
Lana Parrilla,7.7,2
Jennifer Beals,7.7,2
Jennifer Morrison,7.7,2
Julianna Guill,7.7,2
John Briley,7.7,2
Manuel Garcia-Rulfo,7.7,2
Leisha Hailey,7.7,2
Laurel Holloman,7.7,2
Becki Newton,7.7,2
Skywalker Hughes,7.7,2
Neve Campbell,7.7,2
Martin McDonagh,7.7,3
Michael Dorman,7.7,2
Ginnifer Goodwin,7.7,2
Michael Lewis,7.699999999999999,2
Nicholas Pileggi,7.699999999999999,3
David Lynch,7.675,4
John A. Russo,7.675,4
Anthony McCarten,7.666666666666667,3
David Reynolds,7.666666666666667,3
Gillian Flynn,7.666666666666667,3
Bernd Eichinger,7.666666666666667,3
Laurence Stallings,7.666666666666667,3
Paul Haggis,7.655555555555556,9
Waldo Salt,7.65,4
Alejandro G. IÃ±Ã¡rritu,7.65,4
Victoria Bedos,7.65,2
John Lasseter,7.65,4
James Warner Bellah,7.65,2
Ken Nolan,7.65,2
Stanislas CarrÃ© de Malberg,7.65,2
Brad Bird,7.65,4
Dean DeBlois,7.65,4
Lukas Moodysson,7.65,2
Marie Brenner,7.65,2
Irvine Welsh,7.65,2
James Cameron,7.637499999999999,8
James Jones,7.633333333333333,3
Shane Meadows,7.633333333333333,3
David McKenna,7.633333333333333,3
Roman Polanski,7.625,4
George Lucas,7.625,12
Thomas Harris,7.625,4
Chuck Palahniuk,7.6000000000000005,2
Jared Bush,7.6000000000000005,3
Krysty Wilson-Cairns,7.6,2
Jonathan Blow,7.6,2
Paul Fraser,7.6,2
Patrick McHale,7.6,4
Peter Stone,7.6,4
Mark Monroe,7.6,2
Greta Gerwig,7.6,4
Francis Ford Coppola,7.6,10
Derek Kolstad,7.6,5
Renaud BÃ©dard,7.6,2
Cressida Cowell,7.6,2
Carlo Collodi,7.6,4
Sherman Edwards,7.6,2
Sylvain Chomet,7.6,2
Byron Howard,7.6,2
Brandon Boyer,7.6,2
Bob Gale,7.6,5
Paddy Chayefsky,7.599999999999999,3
Wes Anderson,7.585714285714286,7
Charlie Kaufman,7.583333333333333,6
Billy Bob Thornton,7.575,4
Rich Moore,7.566666666666666,3
Jan Sardi,7.566666666666666,3
Steve Kloves,7.56,5
NicolÃ¡s Giacobone,7.550000000000001,2
Cornelius Ryan,7.550000000000001,2
Steve James,7.550000000000001,2
J.K. Rowling,7.55,6
Dennis Lehane,7.55,6
Jill Culton,7.55,2
Andrew Knight,7.55,2
Robert Schenkkan,7.55,2
Aaron Stockard,7.55,2
Terry Rossio,7.5375,8
Josh Singer,7.533333333333334,3
Chris Sanders,7.533333333333334,3
Scott Silver,7.525,4
Pedro AlmodÃ³var,7.525,4
Stacy Peralta,7.5,3
Ji-Eun Kim,7.5,2
Walter Tevis,7.5,2
Ricki Stern,7.5,2
Phillip Martin,7.5,2
Darius Marder,7.5,2
Rick Deslauriers,7.5,2
C. Gaby Mitchell,7.5,2
Homer,7.5,2
James Baldwin,7.5,2
Carl Foreman,7.5,3
Noel Langley,7.5,2
Robert M. Young,7.5,2
Ignacio del Moral,7.5,2
Fernando LeÃ³n de Aranoa,7.5,2
Nancy Dowd,7.5,2
Moss Hart,7.5,2
Austin Wright,7.5,2
Hao Ning,7.5,2
Cary Joji Fukunaga,7.5,2
Mel Gibson,7.5,2
GÃ©rard Brach,7.5,2
Ha-seon Park,7.5,2
Guillaume Laurant,7.5,5
Bruce Geller,7.5,3
Anne Sundberg,7.5,2
Allen Hughes,7.5,2
Paolo Sorrentino,7.5,2
Daniel Kwan,7.5,3
Daniel Scheinert,7.5,3
Robert Benton,7.5,2
Kan-Cheung Tsang,7.5,2
Ritesh Shah,7.5,2
Kyle Chandler,7.5,3
Jean-Pierre Jeunet,7.5,4
Min Namkoong,7.5,2
Tom Ford,7.5,3
Michael Goldenberg,7.5,2
Nick Schenk,7.5,3
Farhad Safinia,7.5,2
William B. Evans,7.5,2
John Ajvide Lindqvist,7.5,2
Steven Zaillian,7.490909090909091,11
Jim Jarmusch,7.4799999999999995,5
Taylor Sheridan,7.475,4
Andrew Haigh,7.466666666666666,3
Robert Rodat,7.466666666666666,3
Harry Brown,7.466666666666666,3
Guillermo Arriaga,7.459999999999999,5
Christopher McQuarrie,7.457142857142857,7
David Magee,7.45,4
Charles Brackett,7.45,2
Sergio G. SÃ¡nchez,7.45,2
Jim Uhls,7.45,2
Todd Field,7.45,2
John Huston,7.449999999999999,2
Alejandro Monteverde,7.449999999999999,2
Ben Affleck,7.44,5
Edgar Wright,7.4375,8
David Hayter,7.433333333333334,3
Matt Damon,7.433333333333334,3
Tim McCanlies,7.433333333333334,3
Peter Morgan,7.428571428571429,7
Paul Thomas Anderson,7.42,10
Terry Gilliam,7.42,5
Terence Winter,7.416666666666667,6
John Landis,7.400000000000001,3
Jeff Pope,7.4,2
Kenny Johnson,7.4,2
Pan Nalin,7.4,2
Philip K. Dick,7.4,13
E.M. Forster,7.4,4
Aaron Sorkin,7.4,8
Rudyard Kipling,7.4,2
Michael Mann,7.4,2
Craig Borten,7.4,2
Shadd Williams,7.4,2
Justin Dillon,7.4,2
Katsuhiro Ãtomo,7.4,2
Jaco Van Dormael,7.4,2
Jason Smilovic,7.4,2
Nick Cassavetes,7.4,2
Tom McCarthy,7.4,5
Tom Perrotta,7.4,2
Arnold Perl,7.3999999999999995,3
Michael Haneke,7.3999999999999995,3
Oliver H.P. Garrett,7.375,4
Milo Ventimiglia,7.366666666666667,3
Luke Davies,7.366666666666667,3
Owen Wilson,7.366666666666667,3
Tim Burton,7.366666666666667,3
Jim Rash,7.366666666666667,3
David Franzoni,7.366666666666667,3
Nat Faxon,7.366666666666667,3
Joss Whedon,7.359999999999999,5
Stephen Chbosky,7.359999999999999,5
Michel Gondry,7.3500000000000005,2
Steven Spielberg,7.35,4
Steve Pink,7.35,2
Bill Dubuque,7.35,2
Joe Simon,7.35,2
D.V. DeVincentis,7.35,2
Terri Tatchell,7.35,2
William Blake Herron,7.35,2
Deric Washburn,7.35,2
Matt Greenhalgh,7.35,2
Chris Butler,7.35,2
Michael Green,7.344444444444444,9
Ted Elliott,7.344444444444444,9
Derek Cianfrance,7.340000000000001,5
Michael Moore,7.3375,8
Peter Weir,7.333333333333333,3
Mateo Gil,7.333333333333333,3
Matthew Vaughn,7.333333333333333,6
Choderlos de Laclos,7.333333333333333,3
Jordan Roberts,7.333333333333333,3
Anthony Minghella,7.333333333333333,3
I.A.L. Diamond,7.325,4
Jean-Luc Godard,7.325,4
Thomas Bidegain,7.325,4
Jeffrey Boam,7.325,4
James Mangold,7.32,5
Eric Roth,7.316666666666666,12
Douglas Kenney,7.300000000000001,2
Doug Atchison,7.300000000000001,2
Bettina Gilois,7.300000000000001,2
Charles Lederer,7.300000000000001,2
Jeremy Iacone,7.300000000000001,2
Patrick Marber,7.300000000000001,2
Todd Komarnicki,7.300000000000001,2
Christopher Cleveland,7.300000000000001,2
David Hare,7.3,3
Aleksei Ivanov,7.3,2
Jesse Armstrong,7.3,2
Julia Barnett,7.3,2
Andrucha Waddington,7.3,2
Joseph Moncure March,7.3,2
Jordan Peele,7.3,2
Jacques Audiard,7.3,5
Sam Bain,7.3,2
Marshall Neilan,7.3,2
Sarah Wayne Callies,7.3,2
Catherine Haena Kim,7.3,2
Ben Mezrich,7.3,2
Mark Victor,7.3,2
Marshall Brickman,7.3,3
Tony Kushner,7.3,3
Valeriy Todorovskiy,7.3,2
Luiz Carlos Barreto,7.3,2
Osha Gray Davidson,7.3,2
Don McEnery,7.3,2
Howard Estabrook,7.3,2
Sylvie Blaustein,7.3,2
Jack Golden Russell,7.3,3
Menno Meyjes,7.3,2
Mary Helen Ayres,7.3,2
Guillaume Canet,7.3,2
Tom Wheeler,7.3,3
Michael Gilio,7.3,2
Christopher Morris,7.3,2
Mike Leigh,7.3,4
Michael Grais,7.3,2
Ron Clements,7.3,5
Robin Bissell,7.3,2
Elena Soarez,7.3,2
Rauf Kubayev,7.3,2
John Musker,7.3,5
Richard Linklater,7.290000000000001,10
Sam Raimi,7.283333333333334,6
Laeta Kalogridis,7.279999999999999,5
Roger Avary,7.271428571428571,7
John-Henry Butterworth,7.266666666666667,6
FranÃ§ois Truffaut,7.266666666666667,3
Walter Hill,7.266666666666667,3
Rian Johnson,7.26,5
Barry Jenkins,7.25,2
Eric Johnson,7.25,2
Shay Hatten,7.25,4
Robert L. Baird,7.25,2
Nick Cave,7.25,2
Gill Dennis,7.25,2
P.L. Travers,7.25,2
Jack Thorne,7.25,2
Walter Bernstein,7.25,2
David Williamson,7.25,2
Alain Godard,7.25,2
Johanna Harwood,7.25,2
Irena Brignull,7.25,2
Robert Culp,7.25,2
David Giler,7.25,2
Jean-Jacques Annaud,7.25,2
Garth Jennings,7.25,2
Gaspar NoÃ©,7.25,2
Stieg Larsson,7.233333333333333,3
Bobby Moresco,7.233333333333333,3
Joe Ranft,7.233333333333333,3
Aaron Guzikowski,7.233333333333333,3
Hans Christian Andersen,7.233333333333333,3
Leonard Nimoy,7.233333333333333,3
Erik Sommers,7.225,4
Terrence Malick,7.225,4
Walon Green,7.225,4
Simon Pegg,7.220000000000001,5
Drew Goddard,7.220000000000001,5
Mark Millar,7.220000000000001,5
Andrew Niccol,7.219999999999999,5
Neil Gaiman,7.216666666666666,6
Joel Coen,7.207142857142857,14
Ethan Coen,7.207142857142857,14
Earl Felton,7.2,3
Edmund Penney,7.2,2
Arthur Laurents,7.2,2
John Godey,7.2,3
Robert Zemeckis,7.2,8
Robert Towne,7.2,5
Eric Bogosian,7.2,3
Richard Glatzer,7.2,2
John Crawford,7.2,2
William Nicholson,7.2,7
Lucy Alibar,7.2,2
Robert Ludlum,7.2,4
Marn Davies,7.2,3
Gary Goldman,7.2,2
Gordon T. Dawson,7.2,2
Scott Neustadter,7.2,5
Andrew Napier,7.2,2
Andrew Birkin,7.2,3
Michael H. Weber,7.2,5
Chris Williams,7.2,3
Gaston Leroux,7.2,2
Erik Poppe,7.2,2
Theodore Melfi,7.2,3
Anna Bache-Wiig,7.2,2
Douglas McGrath,7.2,3
Tony Grisoni,7.2,2
Jay Cocks,7.2,4
David S. Ward,7.2,4
Annie Proulx,7.2,2
David Z. Weinstein,7.2,2
Ivan Atkinson,7.2,3
M.L. Stedman,7.2,2
Bill Condon,7.2,5
Tad Savinar,7.2,2
Bryan Singer,7.2,3
Stephen Singular,7.2,2
Siv Rajendram Eliassen,7.2,2
W. Somerset Maugham,7.2,2
Wash Westmoreland,7.2,2
Albert Hughes,7.2,3
David Peace,7.2,2
Rick King,7.2,2
Bob Tzudiker,7.199999999999999,2
Bo Goldman,7.199999999999999,2
Kirk Jones,7.199999999999999,2
John Carlin,7.199999999999999,2
Robert Riskin,7.199999999999999,4
Jane Goldman,7.199999999999999,9
Alan Jay Lerner,7.199999999999999,2
Alex Garland,7.1875,8
Jerry Zucker,7.175000000000001,4
Paul Fisher,7.175000000000001,4
Sam Peckinpah,7.175000000000001,4
Tom Tykwer,7.175,4
Lars von Trier,7.175,4
Todd Solondz,7.166666666666667,3
Jerry Juhl,7.166666666666667,3
Robert Siegel,7.166666666666667,3
John Collee,7.166666666666667,3
Jason Keller,7.166666666666667,3
David Marconi,7.15,2
Mark Boal,7.15,4
Ingmar Bergman,7.15,2
Jee-woon Kim,7.15,2
Kar-Wai Wong,7.15,4
Michael Arndt,7.15,4
Tim Robbins,7.15,2
Scott Hicks,7.15,2
Roy Huggins,7.15,2
Yorgos Lanthimos,7.15,2
Terry George,7.15,4
Robert Graysmith,7.15,2
Dan Futterman,7.15,2
Efthimis Filippou,7.15,2
David Webb Peoples,7.1499999999999995,4
Christopher Guest,7.140000000000001,5
Eugene Levy,7.140000000000001,5
Ivan Raimi,7.133333333333333,3
Michael Cimino,7.133333333333333,3
William D. Wittliff,7.133333333333333,3
Kazuo Ishiguro,7.133333333333333,3
Julian Fellowes,7.133333333333333,3
Ernest Lehman,7.133333333333333,3
Sonya Levien,7.133333333333333,3
J. Mackye Gruber,7.133333333333333,3
F. Scott Fitzgerald,7.125,4
Oliver Stone,7.123076923076923,13
Baz Luhrmann,7.116666666666667,6
Scott Z. Burns,7.114285714285714,7
Ari Aster,7.1000000000000005,3
John Krasinski,7.1000000000000005,3
David Arata,7.1000000000000005,3
Oscar Saul,7.1000000000000005,3
Cathryn Michon,7.1000000000000005,3
Eric Warren Singer,7.1000000000000005,3
Destin Daniel Cretton,7.1000000000000005,3
W. Bruce Cameron,7.1000000000000005,3
Peter Jackson,7.1000000000000005,7
Andrew Lanham,7.1000000000000005,3
Charles McKeown,7.1000000000000005,3
Bob Massey,7.1,2
Gary Spinelli,7.1,2
Hal Barwood,7.1,2
Michael Palin,7.1,2
Charles Willeford,7.1,2
William Wisher,7.1,4
Kevyn Bashore,7.1,2
Alan Jacobs,7.1,2
Robinson Devor,7.1,2
Valentine,7.1,2
Edith Wharton,7.1,2
Ruben Ãstlund,7.1,2
Roy Moore,7.1,2
Stephen Merchant,7.1,2
Trina CalderÃ³n,7.1,2
Pawel Pawlikowski,7.1,2
Michael Shaara,7.1,2
Eric Bugbee,7.1,2
Lynne Ramsay,7.1,2
Jeff Nichols,7.1,4
Michael Winerip,7.1,2
Jason Reitman,7.1,5
Donald E. Stewart,7.1,4
Terry Southern,7.1,2
Karen Robinson,7.099999999999999,3
Matthieu Delaporte,7.099999999999999,3
S. Craig Zahler,7.099999999999999,3
Juliana Canfield,7.099999999999999,3
Jeff Wilbusch,7.099999999999999,3
Alexandre de La PatelliÃ¨re,7.099999999999999,3
Craig Pearce,7.083333333333333,6
Guillermo del Toro,7.083333333333333,12
Jeb Stuart,7.08,5
Kevin Jarre,7.08,5
Harold Ramis,7.075,8
Jonathan Hensleigh,7.075,4
Michael Bacall,7.075,4
Robert Festinger,7.066666666666667,3
Robert Eggers,7.066666666666667,3
Sofia Coppola,7.066666666666666,3
Gina Prince-Bythewood,7.066666666666666,3
Anthony Peckham,7.066666666666666,3
Deborah Moggach,7.066666666666666,3
Jon Spaihts,7.066666666666666,6
Stephen Chow,7.066666666666666,3
Ted Tally,7.066666666666666,6
Noah Baumbach,7.0625,8
Larry Karaszewski,7.06,5
John Cameron Mitchell,7.050000000000001,2
Bob Clark,7.050000000000001,2
Jeanne Rosenberg,7.050000000000001,2
Jesse Andrews,7.050000000000001,2
Juliette Towhidi,7.050000000000001,2
James R. Webb,7.05,2
Curtis Hanson,7.05,2
Mike Rich,7.05,4
Stuart Beattie,7.05,10
Simon Moore,7.05,2
Michael Cunningham,7.05,2
Anurag Basu,7.05,2
Jeremy Saulnier,7.05,2
Sanjeev Dutta,7.05,2
Charles Randolph,7.040000000000001,5
Alejandro AmenÃ¡bar,7.040000000000001,5
Steve Conrad,7.040000000000001,5
Chris Weitz,7.040000000000001,5
Ronald Harwood,7.0375,8
John Lee Mahin,7.033333333333334,3
Jonah Hill,7.033333333333334,3
Don McKellar,7.033333333333334,3
Mike Cahill,7.033333333333334,3
Melissa Mathison,7.033333333333334,6
Ian La Frenais,7.033333333333334,3
William Broyles Jr.,7.028571428571429,7
Lawrence Kasdan,7.025,8
Nick Hornby,7.0200000000000005,5
Peter Hedges,7.0200000000000005,5
Rick Jaffa,7.014285714285714,7
Charles Dickens,7.014285714285714,7
Richard Curtis,7.009090909090909,11
Vic Sarin,7.0,2
Justin Davis,7.0,2
Tony Gilroy,7.0,13
Ron Nyswaner,7.0,2
Mark Addy,7.0,2
Bam Margera,7.0,2
Beth Karas,7.0,2
Swami Krishnanad,7.0,2
Brock Norman Brock,7.0,2
Jake Barnett,7.0,2
David Cronenberg,7.0,2
Jiping He,7.0,2
Zach Braff,7.0,2
Jocelyn Moorhouse,7.0,2
P.J. Hogan,7.0,2
Jari Olavi Rantala,7.0,2
Jon Croker,7.0,4
Leos Carax,7.0,2
Jasper Johal,7.0,2
Anna Boden,7.0,3
Robert Carlyle,7.0,2
Al Gore,7.0,2
Steve McQueen,7.0,2
Aleksi Puranen,7.0,2
Steve Faber,7.0,2
Todd Haynes,7.0,3
Ryan Fleck,7.0,3
Samuel L. Jackson,7.0,2
Marsha Norman,7.0,2
Ben Mendelsohn,7.0,2
Liz Hannah,7.0,2
Paul Barber,7.0,2
Lizzy Caplan,7.0,2
Juuso Laatio,7.0,2
Isaac Asimov,7.0,2
Trey Parker,7.0,3
Bob Fisher,7.0,2
David Mamet,7.0,11
Rosalie Ham,7.0,2
George Clayton Johnson,7.0,6
Matt Stone,7.0,3
William Goldman,7.0,12
Tommy Swerdlow,7.0,4
Michael Barnett,7.0,2
Andrew Kevin Walker,7.0,3
Wallace Shawn,7.0,2
Paul Greengrass,7.0,3
Cobie Smulders,7.0,2
Scott Frank,6.9875,8
Roald Dahl,6.9875,8
Damien Chazelle,6.9799999999999995,5
Christopher Hampton,6.977777777777778,9
Ernest Tidyman,6.9750000000000005,4
Pam Brady,6.975,4
Ryan Coogler,6.975,4
Peter Craig,6.975,8
Lilly Wachowski,6.975,8
Zach Baylin,6.975,4
David Nicholls,6.966666666666666,3
Philip Dunne,6.966666666666666,3
Claude Chabrol,6.966666666666666,3
Mike Judge,6.966666666666666,3
Chris Buck,6.966666666666666,3
Michael Thomas,6.966666666666666,3
Mark Heyman,6.966666666666666,3
Gus Van Sant,6.966666666666666,3
Tab Murphy,6.959999999999999,5
Gary Ross,6.959999999999999,5
Chris McKenna,6.959999999999999,5
Guy Ritchie,6.958333333333333,12
Dan Aykroyd,6.957142857142857,7
Niranjan Iyengar,6.95,2
Neil Simon,6.95,2
Tom Stoppard,6.95,4
Frank S. Nugent,6.95,2
Philip LaZebnik,6.95,2
Lionel Wigram,6.95,2
Victor Nunez,6.95,2
Suzanne Collins,6.95,4
Amanda Silver,6.95,6
Shibani Bathija,6.95,2
Spike Jonze,6.95,4
Dalton Trumbo,6.95,2
Xavier Beauvois,6.95,2
Dick Clement,6.95,4
John Green,6.95,2
Kimberly Peirce,6.95,2
Ande Parks,6.949999999999999,2
Ken Scott,6.949999999999999,2
Carl Gottlieb,6.949999999999999,2
Randy Brown,6.949999999999999,2
Kieran Fitzgerald,6.949999999999999,2
Kelly Reichardt,6.949999999999999,2
Kario Salem,6.949999999999999,2
Mary Agnes Donoghue,6.949999999999999,2
Peter Benchley,6.949999999999999,2
Simon Beaufoy,6.942857142857143,7
David Benioff,6.94,5
Robert Wade,6.94,5
Woody Allen,6.938095238095237,21
Pierre Boulle,6.9375,8
Dan Hageman,6.933333333333334,3
Mike Binder,6.933333333333334,3
Barry Levinson,6.933333333333334,3
Tin-Nam Chun,6.933333333333334,3
Junli Guo,6.933333333333334,3
David Self,6.933333333333334,3
George Miller,6.925,8
Peter Landesman,6.925,4
Will Fetters,6.925,4
W. Peter Iliff,6.925,4
Scott Cooper,6.925,4
Peter Baynham,6.925,4
Mel Brooks,6.914285714285714,7
Dorothy Fields,6.9,2
Noah Harpster,6.9,2
Alex Gibney,6.9,2
Sidney Sheldon,6.9,2
Daniel Reitz,6.9,2
John L. Balderston,6.9,4
Jon Shear,6.9,2
Joe Ahearne,6.9,2
Brian Klugman,6.9,2
Dom Irrera,6.9,2
John Maclean,6.9,2
Bruce A. Evans,6.9,2
Ariel Hsing,6.9,2
Scott Marshall Smith,6.9,2
Robert B. Parker,6.9,2
Ron Maxwell,6.9,2
Mary Gaitskill,6.9,2
Andy Bellin,6.9,2
C. Fraser Press,6.9,2
David Tranter,6.9,2
J. Mills Goodloe,6.9,2
Ben Younger,6.9,2
Lily Zhang,6.9,2
Robert Townsend,6.9,2
Herbert Fields,6.9,2
Hillary Seitz,6.9,2
Michael Landers,6.9,2
Grant Nieporte,6.9,2
William Joyce,6.9,2
Micah Fitzerman-Blue,6.9,2
Daniel Woodrell,6.9,2
Jose Rivera,6.9,2
Dave Chappelle,6.9,2
Filippo Bologna,6.9,2
Steven McGregor,6.9,2
Steven Shainberg,6.9,2
William Steig,6.9,4
Gavin Hood,6.9,2
Charles Leavitt,6.9,5
David O. Russell,6.8999999999999995,6
William Shakespeare,6.891666666666667,12
Lana Wachowski,6.890000000000001,10
Leslie Dixon,6.8875,8
William Monahan,6.883333333333333,6
James Edward Grant,6.88,5
David Seltzer,6.88,5
Ruth Prawer Jhabvala,6.88,5
Jez Butterworth,6.877777777777778,9
Mike Mills,6.875,4
Kenneth Lonergan,6.875,8
Angelo Pizzo,6.875,4
J.C. Chandor,6.875,4
